HOSPITAL_ID,Total_Patients,Readmissions,Readmit_Rate_Pct,Avg_Risk_Score,Critical_Patients,High_Patients,Avg_LOS_Days,Avg_Charge_USD,Unique_Physicians,State_Code,Emergency_Admits,Critical_Pct,Est_Preventable_Savings,Hospital_Volume_Tier
HOSP-33363,145,139,95.9,0.9094,138,5,0.0,1073,1,36,145,95.2,1035000,Major (100+)
HOSP-03606,145,140,96.6,0.9294,142,3,0.0,1403,1,10,145,97.9,1065000,Major (100+)
HOSP-95557,143,34,23.8,0.1879,8,5,2.2,37118,2,49,11,5.6,60000,Major (100+)
HOSP-92247,142,127,89.4,0.8978,132,8,0.0,2879,1,21,142,93.0,990000,Major (100+)
HOSP-51879,142,8,5.6,0.0256,0,0,10.8,138775,1,10,0,0.0,0,Major (100+)
HOSP-02185,141,131,92.9,0.8953,126,14,0.0,1217,1,19,141,89.4,945000,Major (100+)
HOSP-32474,140,136,97.1,0.9515,136,2,0.0,1070,1,51,140,97.1,1020000,Major (100+)
HOSP-55722,140,24,17.1,0.1839,10,11,3.7,39560,1,42,17,7.1,75000,Major (100+)
HOSP-29941,138,9,6.5,0.0399,0,1,9.5,131569,1,45,0,0.0,0,Major (100+)
HOSP-23524,137,48,35.0,0.2824,31,5,4.2,33503,1,18,42,22.6,232500,Major (100+)
HOSP-09837,134,25,18.7,0.1464,0,0,1.0,1397,1,5,134,0.0,0,Major (100+)
HOSP-89970,133,124,93.2,0.9034,129,2,0.0,1136,2,14,133,97.0,967500,Major (100+)
HOSP-41680,133,118,88.7,0.9022,126,6,0.0,1317,1,45,133,94.7,945000,Major (100+)
HOSP-19770,129,123,95.3,0.919,124,5,0.0,1881,1,3,129,96.1,930000,Major (100+)
HOSP-70519,129,78,60.5,0.5852,74,10,1.8,27928,1,33,87,57.4,555000,Major (100+)
HOSP-93754,128,113,88.3,0.9088,123,2,0.0,1192,1,34,128,96.1,922500,Major (100+)
HOSP-34859,125,110,88.0,0.864,111,11,0.0,1124,1,14,125,88.8,832500,Major (100+)
HOSP-34984,125,118,94.4,0.9151,122,2,0.0,1106,1,37,125,97.6,915000,Major (100+)
HOSP-28071,117,96,82.1,0.8195,98,6,0.2,2804,1,33,117,83.8,735000,Major (100+)
HOSP-03646,116,3,2.6,0.0355,0,0,8.3,87619,1,42,0,0.0,0,Major (100+)
HOSP-77739,116,25,21.6,0.1926,6,10,3.1,40373,1,24,15,5.2,45000,Major (100+)
HOSP-54929,114,107,93.9,0.9317,111,3,0.0,745,1,52,114,97.4,832500,Major (100+)
HOSP-62348,113,108,95.6,0.9019,100,12,0.0,1437,1,5,113,88.5,750000,Major (100+)
HOSP-60163,112,30,26.8,0.2159,10,10,3.5,38268,1,38,23,8.9,75000,Major (100+)
HOSP-57472,111,100,90.1,0.8964,106,4,0.0,1022,1,15,111,95.5,795000,Major (100+)
HOSP-88188,110,40,36.4,0.2979,20,9,2.3,45503,1,19,29,18.2,150000,Major (100+)
HOSP-41077,110,32,29.1,0.2612,14,8,2.6,31046,1,26,23,12.7,105000,Major (100+)
HOSP-80187,109,96,88.1,0.8863,103,3,0.0,1270,1,23,109,94.5,772500,Major (100+)
HOSP-31657,108,72,66.7,0.7929,86,3,0.1,1491,1,39,108,79.6,645000,Major (100+)
HOSP-16574,107,95,88.8,0.8928,100,2,0.0,1243,1,31,107,93.5,750000,Major (100+)
HOSP-84807,106,97,91.5,0.8928,100,4,0.0,1235,1,36,106,94.3,750000,Major (100+)
HOSP-75576,105,97,92.4,0.8837,94,8,0.0,1166,1,25,105,89.5,705000,Major (100+)
HOSP-70350,105,98,93.3,0.9049,95,9,0.0,1432,1,21,105,90.5,712500,Major (100+)
HOSP-31222,103,95,92.2,0.9059,95,4,0.0,1115,1,49,103,92.2,712500,Major (100+)
HOSP-50653,102,87,85.3,0.8599,91,6,0.0,1571,1,33,102,89.2,682500,Major (100+)
HOSP-34160,101,34,33.7,0.2817,20,7,2.9,40374,1,37,32,19.8,150000,Major (100+)
HOSP-90478,100,93,93.0,0.8664,92,7,0.0,829,1,15,100,92.0,690000,Large (20-100)
HOSP-28386,99,61,61.6,0.7165,73,3,0.0,2978,1,33,99,73.7,547500,Large (20-100)
HOSP-55126,99,93,93.9,0.9026,95,3,0.0,1129,1,44,99,96.0,712500,Large (20-100)
HOSP-47873,99,86,86.9,0.8489,84,9,0.0,1423,1,10,99,84.8,630000,Large (20-100)
HOSP-28151,98,39,39.8,0.305,13,13,1.1,26548,1,6,27,13.3,97500,Large (20-100)
HOSP-72939,98,25,25.5,0.2387,12,6,2.0,21784,1,16,35,12.2,90000,Large (20-100)
HOSP-18542,97,93,95.9,0.9014,90,5,0.0,1461,1,34,97,92.8,675000,Large (20-100)
HOSP-10814,94,80,85.1,0.8026,73,11,0.0,1750,1,5,94,77.7,547500,Large (20-100)
HOSP-39520,94,89,94.7,0.8794,91,1,0.0,1212,1,22,94,96.8,682500,Large (20-100)
HOSP-50954,94,13,13.8,0.1232,3,3,4.8,68964,1,29,7,3.2,22500,Large (20-100)
HOSP-60483,93,76,81.7,0.7822,65,18,0.0,935,1,25,93,69.9,487500,Large (20-100)
HOSP-90819,92,78,84.8,0.8031,69,8,0.2,2422,2,5,89,75.0,517500,Large (20-100)
HOSP-32921,90,73,81.1,0.8439,76,8,0.0,2485,1,33,90,84.4,570000,Large (20-100)
HOSP-47046,90,82,91.1,0.892,82,7,0.0,2145,1,5,90,91.1,615000,Large (20-100)
HOSP-80104,89,85,95.5,0.905,87,2,0.0,1187,1,10,89,97.8,652500,Large (20-100)
HOSP-46491,88,82,93.2,0.9058,84,2,0.0,942,1,38,88,95.5,630000,Large (20-100)
HOSP-85673,88,84,95.5,0.9148,83,5,0.0,1330,1,10,88,94.3,622500,Large (20-100)
HOSP-53224,88,73,83.0,0.8281,71,9,0.0,1989,1,33,88,80.7,532500,Large (20-100)
HOSP-70273,87,70,80.5,0.8803,80,4,0.0,908,1,14,87,92.0,600000,Large (20-100)
HOSP-78135,86,71,82.6,0.8107,71,4,0.0,2578,1,49,86,82.6,532500,Large (20-100)
HOSP-47638,85,75,88.2,0.8993,82,3,0.0,1143,1,45,85,96.5,615000,Large (20-100)
HOSP-00864,85,76,89.4,0.8964,81,0,0.0,990,1,32,85,95.3,607500,Large (20-100)
HOSP-31611,84,71,84.5,0.8638,72,6,0.0,2107,1,33,84,85.7,540000,Large (20-100)
HOSP-53646,84,73,86.9,0.849,71,9,0.1,1480,1,36,84,84.5,532500,Large (20-100)
HOSP-88313,84,71,84.5,0.9128,79,4,0.0,1417,2,17,84,94.0,592500,Large (20-100)
HOSP-24942,84,2,2.4,0.0291,0,0,6.7,91082,1,6,0,0.0,0,Large (20-100)
HOSP-62934,84,76,90.5,0.9019,78,5,0.0,1703,1,23,84,92.9,585000,Large (20-100)
HOSP-43504,83,71,85.5,0.8351,69,9,0.0,1810,2,34,83,83.1,517500,Large (20-100)
HOSP-96541,82,19,23.2,0.1971,8,3,2.6,49260,1,21,10,9.8,60000,Large (20-100)
HOSP-17837,82,62,75.6,0.7884,63,8,0.1,4307,1,33,82,76.8,472500,Large (20-100)
HOSP-17744,82,79,96.3,0.8709,72,9,0.0,950,1,20,82,87.8,540000,Large (20-100)
HOSP-24620,81,65,80.2,0.8695,74,4,0.0,1597,1,25,81,91.4,555000,Large (20-100)
HOSP-77439,80,73,91.2,0.8983,78,1,0.0,1051,1,34,80,97.5,585000,Large (20-100)
HOSP-94119,80,74,92.5,0.851,68,8,0.0,1058,1,44,80,85.0,510000,Large (20-100)
HOSP-51638,79,4,5.1,0.0172,0,0,9.9,140825,1,10,0,0.0,0,Large (20-100)
HOSP-91566,79,72,91.1,0.8786,73,3,0.0,1279,1,45,79,92.4,547500,Large (20-100)
HOSP-10754,77,68,88.3,0.8755,71,6,0.0,1305,1,39,77,92.2,532500,Large (20-100)
HOSP-13163,77,25,32.5,0.2415,9,6,2.4,43772,1,1,18,11.7,67500,Large (20-100)
HOSP-95781,73,2,2.7,0.0224,0,0,7.1,84204,1,26,0,0.0,0,Large (20-100)
HOSP-36988,73,59,80.8,0.8135,60,6,0.0,2456,1,10,73,82.2,450000,Large (20-100)
HOSP-30031,72,63,87.5,0.8337,56,12,0.0,5515,1,10,72,77.8,420000,Large (20-100)
HOSP-47865,72,1,1.4,0.0288,0,0,6.9,83398,1,10,0,0.0,0,Large (20-100)
HOSP-57767,72,17,23.6,0.196,7,4,3.5,40825,1,25,9,9.7,52500,Large (20-100)
HOSP-36025,72,66,91.7,0.8888,70,2,0.0,1426,1,22,72,97.2,525000,Large (20-100)
HOSP-01127,70,66,94.3,0.9351,70,0,0.0,1366,1,49,70,100.0,525000,Large (20-100)
HOSP-58418,69,62,89.9,0.8851,64,4,0.0,1264,1,1,69,92.8,480000,Large (20-100)
HOSP-14416,68,39,57.4,0.5557,39,3,3.7,9780,2,39,46,57.4,292500,Large (20-100)
HOSP-13109,68,59,86.8,0.833,52,11,0.0,2787,1,33,68,76.5,390000,Large (20-100)
HOSP-68737,68,64,94.1,0.8674,61,5,0.0,1427,1,5,68,89.7,457500,Large (20-100)
HOSP-72618,68,59,86.8,0.8532,61,3,0.0,1302,1,44,68,89.7,457500,Large (20-100)
HOSP-47795,68,62,91.2,0.9034,64,3,0.0,1364,1,7,68,94.1,480000,Large (20-100)
HOSP-15878,67,58,86.6,0.8848,63,1,0.0,1196,1,15,67,94.0,472500,Large (20-100)
HOSP-55680,67,60,89.6,0.8859,62,4,0.0,1382,1,10,67,92.5,465000,Large (20-100)
HOSP-67069,65,52,80.0,0.8485,57,2,0.0,2060,1,24,65,87.7,427500,Large (20-100)
HOSP-41093,63,57,90.5,0.8893,58,3,0.0,1213,1,49,63,92.1,435000,Large (20-100)
HOSP-43428,61,39,63.9,0.6594,41,2,1.1,2805,1,3,50,67.2,307500,Large (20-100)
HOSP-39590,61,51,83.6,0.8505,52,7,0.0,1160,1,23,61,85.2,390000,Large (20-100)
HOSP-82917,61,0,0.0,0.0066,0,0,11.5,17849,1,33,0,0.0,0,Large (20-100)
HOSP-03413,60,38,63.3,0.6746,38,5,0.0,2168,1,33,60,63.3,285000,Large (20-100)
HOSP-17649,59,50,84.7,0.8035,45,9,0.2,3367,1,42,59,76.3,337500,Large (20-100)
HOSP-17306,59,48,81.4,0.829,52,2,0.1,2711,1,44,59,88.1,390000,Large (20-100)
HOSP-94560,59,41,69.5,0.7168,40,7,0.0,1984,1,10,59,67.8,300000,Large (20-100)
HOSP-75100,59,50,84.7,0.853,52,0,0.0,2138,1,5,59,88.1,390000,Large (20-100)
HOSP-67144,58,30,51.7,0.4085,17,4,1.1,14729,1,52,23,29.3,127500,Large (20-100)
HOSP-14093,58,47,81.0,0.856,53,0,0.1,1523,1,19,58,91.4,397500,Large (20-100)
HOSP-72004,58,51,87.9,0.8615,54,1,0.0,1553,1,10,58,93.1,405000,Large (20-100)
HOSP-51816,57,51,89.5,0.8099,41,10,0.0,1807,1,4,57,71.9,307500,Large (20-100)
HOSP-49830,57,36,63.2,0.6465,38,1,0.4,1958,2,36,56,66.7,285000,Large (20-100)
HOSP-69299,56,50,89.3,0.8345,45,9,0.0,1144,1,6,56,80.4,337500,Large (20-100)
HOSP-06277,56,16,28.6,0.3472,16,0,0.0,5376,1,5,56,28.6,120000,Large (20-100)
HOSP-23645,55,47,85.5,0.8569,49,2,0.0,1406,1,45,55,89.1,367500,Large (20-100)
HOSP-49752,55,51,92.7,0.8796,51,4,0.0,985,1,39,55,92.7,382500,Large (20-100)
HOSP-98209,55,45,81.8,0.8936,51,3,0.0,1642,1,21,55,92.7,382500,Large (20-100)
HOSP-80886,55,50,90.9,0.884,51,3,0.0,1992,1,39,55,92.7,382500,Large (20-100)
HOSP-90825,54,48,88.9,0.8763,47,6,0.0,2075,1,49,54,87.0,352500,Large (20-100)
HOSP-88198,54,51,94.4,0.9122,51,3,0.0,1821,1,29,54,94.4,382500,Large (20-100)
HOSP-79142,53,46,86.8,0.9066,51,0,0.0,1392,1,39,53,96.2,382500,Large (20-100)
HOSP-34732,53,35,66.0,0.6604,33,3,0.0,3092,1,33,53,62.3,247500,Large (20-100)
HOSP-82134,53,51,96.2,0.8638,46,7,0.0,1137,1,18,53,86.8,345000,Large (20-100)
HOSP-80997,52,46,88.5,0.876,46,6,0.0,974,1,36,52,88.5,345000,Large (20-100)
HOSP-27398,52,8,15.4,0.1329,5,0,5.0,26855,1,17,4,9.6,37500,Large (20-100)
HOSP-80357,52,48,92.3,0.8679,44,8,0.0,1872,1,3,52,84.6,330000,Large (20-100)
HOSP-61593,52,22,42.3,0.3501,16,1,3.2,41428,1,7,20,30.8,120000,Large (20-100)
HOSP-16198,52,46,88.5,0.8908,49,3,0.0,991,1,26,52,94.2,367500,Large (20-100)
HOSP-22570,52,40,76.9,0.8387,41,8,0.0,1515,1,5,52,78.8,307500,Large (20-100)
HOSP-26707,51,46,90.2,0.8459,45,3,0.0,869,1,28,51,88.2,337500,Large (20-100)
HOSP-68473,51,15,29.4,0.2372,8,5,5.5,59295,1,12,13,15.7,60000,Large (20-100)
HOSP-04091,50,43,86.0,0.8792,47,2,0.0,1453,1,45,50,94.0,352500,Large (20-100)
HOSP-41027,50,43,86.0,0.8277,45,2,0.0,817,1,36,50,90.0,337500,Large (20-100)
HOSP-48558,50,43,86.0,0.8628,45,1,0.0,1830,1,21,50,90.0,337500,Large (20-100)
HOSP-61769,49,2,4.1,0.0112,0,0,8.1,94671,1,22,0,0.0,0,Large (20-100)
HOSP-89376,49,41,83.7,0.834,38,8,0.0,3201,1,33,49,77.6,285000,Large (20-100)
HOSP-13615,49,44,89.8,0.8892,44,5,0.0,2584,1,5,49,89.8,330000,Large (20-100)
HOSP-70679,49,2,4.1,0.0397,0,0,7.0,47155,1,1,0,0.0,0,Large (20-100)
HOSP-81064,48,14,29.2,0.2467,7,3,2.9,33689,1,51,8,14.6,52500,Large (20-100)
HOSP-60100,48,43,89.6,0.8393,38,7,0.0,1627,1,5,48,79.2,285000,Large (20-100)
HOSP-81607,48,33,68.8,0.7431,33,5,0.0,3867,1,33,48,68.8,247500,Large (20-100)
HOSP-11893,47,40,85.1,0.8198,39,5,0.0,1397,1,39,47,83.0,292500,Large (20-100)
HOSP-34812,47,37,78.7,0.7751,34,7,0.1,2858,1,33,47,72.3,255000,Large (20-100)
HOSP-05858,47,39,83.0,0.8556,42,2,0.0,2194,1,36,47,89.4,315000,Large (20-100)
HOSP-69285,47,37,78.7,0.6556,29,4,0.1,1371,1,34,47,61.7,217500,Large (20-100)
HOSP-84068,47,34,72.3,0.7701,38,0,0.1,1110,1,1,47,80.9,285000,Large (20-100)
HOSP-39281,47,8,17.0,0.2199,5,1,0.9,1460,1,10,47,10.6,37500,Large (20-100)
HOSP-41295,46,39,84.8,0.856,39,2,0.0,1335,1,45,46,84.8,292500,Large (20-100)
HOSP-64157,46,43,93.5,0.8988,43,3,0.0,2292,1,10,46,93.5,322500,Large (20-100)
HOSP-86789,46,42,91.3,0.8878,44,1,0.0,1271,1,3,46,95.7,330000,Large (20-100)
HOSP-23682,46,38,82.6,0.8555,40,3,0.0,1767,1,11,46,87.0,300000,Large (20-100)
HOSP-53876,46,38,82.6,0.8534,40,5,0.0,1486,1,36,46,87.0,300000,Large (20-100)
HOSP-82678,46,39,84.8,0.8491,40,1,0.0,1486,1,5,46,87.0,300000,Large (20-100)
HOSP-19934,45,33,73.3,0.7259,33,4,0.0,1260,1,13,45,73.3,247500,Large (20-100)
HOSP-43858,45,39,86.7,0.7764,34,3,0.1,1910,1,18,45,75.6,255000,Large (20-100)
HOSP-32424,45,29,64.4,0.7054,33,2,1.2,3686,1,10,35,73.3,247500,Large (20-100)
HOSP-09953,45,35,77.8,0.8552,36,7,0.0,2109,1,10,45,80.0,270000,Large (20-100)
HOSP-66239,45,38,84.4,0.8374,37,4,0.0,1122,1,24,45,82.2,277500,Large (20-100)
HOSP-42989,44,40,90.9,0.8767,39,4,0.0,906,1,36,44,88.6,292500,Large (20-100)
HOSP-70927,44,37,84.1,0.8714,41,1,0.0,1211,1,23,44,93.2,307500,Large (20-100)
HOSP-59936,43,38,88.4,0.8341,38,3,0.0,868,1,16,43,88.4,285000,Large (20-100)
HOSP-23007,43,12,27.9,0.2629,5,6,2.3,41985,1,53,9,11.6,37500,Large (20-100)
HOSP-21580,43,38,88.4,0.9057,41,2,0.0,954,1,22,43,95.3,307500,Large (20-100)
HOSP-28224,43,39,90.7,0.8658,38,4,0.0,2534,1,31,43,88.4,285000,Large (20-100)
HOSP-26456,43,35,81.4,0.8392,36,3,0.0,3156,1,50,43,83.7,270000,Large (20-100)
HOSP-47244,43,36,83.7,0.8561,36,4,0.0,1816,1,50,43,83.7,270000,Large (20-100)
HOSP-53034,43,30,69.8,0.8312,38,2,0.0,3074,1,33,43,88.4,285000,Large (20-100)
HOSP-52748,43,3,7.0,0.0286,0,0,9.1,131343,1,10,0,0.0,0,Large (20-100)
HOSP-95241,42,29,69.0,0.7212,28,5,0.0,2647,1,29,42,66.7,210000,Large (20-100)
HOSP-13285,42,33,78.6,0.7977,32,6,0.0,4975,2,46,42,76.2,240000,Large (20-100)
HOSP-12905,42,33,78.6,0.8406,35,3,0.0,1177,1,38,42,83.3,262500,Large (20-100)
HOSP-17536,42,37,88.1,0.8403,38,0,0.0,1000,1,23,42,90.5,285000,Large (20-100)
HOSP-36585,42,35,83.3,0.8416,38,2,0.0,956,1,24,42,90.5,285000,Large (20-100)
HOSP-71849,41,34,82.9,0.8217,33,3,0.1,1255,1,15,41,80.5,247500,Large (20-100)
HOSP-35824,41,30,73.2,0.7117,28,5,0.3,1883,2,5,39,68.3,210000,Large (20-100)
HOSP-38520,41,38,92.7,0.8587,39,1,0.0,705,1,24,41,95.1,292500,Large (20-100)
HOSP-11331,41,32,78.0,0.7515,29,3,0.0,1334,1,15,41,70.7,217500,Large (20-100)
HOSP-25951,41,26,63.4,0.6797,27,3,0.0,2393,1,39,41,65.9,202500,Large (20-100)
HOSP-98211,41,35,85.4,0.8235,32,8,0.0,1345,1,14,41,78.0,240000,Large (20-100)
HOSP-72713,40,2,5.0,0.0221,0,0,9.0,15115,1,34,0,0.0,0,Large (20-100)
HOSP-60361,40,35,87.5,0.8751,36,2,0.0,1279,1,45,40,90.0,270000,Large (20-100)
HOSP-53299,40,32,80.0,0.8543,35,3,0.0,1147,1,7,40,87.5,262500,Large (20-100)
HOSP-54875,40,4,10.0,0.0963,1,1,0.0,5636,1,34,40,2.5,7500,Large (20-100)
HOSP-62669,40,21,52.5,0.6062,19,7,0.0,2165,1,34,40,47.5,142500,Large (20-100)
HOSP-08203,40,32,80.0,0.8024,34,1,0.6,1688,1,33,37,85.0,255000,Large (20-100)
HOSP-39809,40,36,90.0,0.8664,35,4,0.0,1284,1,5,40,87.5,262500,Large (20-100)
HOSP-92246,40,31,77.5,0.8208,34,3,0.0,3150,1,10,40,85.0,255000,Large (20-100)
HOSP-01916,40,0,0.0,0.0087,0,0,14.4,203931,1,5,0,0.0,0,Large (20-100)
HOSP-75635,40,8,20.0,0.2058,3,2,0.0,9331,1,31,40,7.5,22500,Large (20-100)
HOSP-28836,39,34,87.2,0.8913,36,2,0.0,943,1,14,39,92.3,270000,Large (20-100)
HOSP-52880,39,0,0.0,0.0055,0,0,16.9,19677,1,46,0,0.0,0,Large (20-100)
HOSP-51612,39,34,87.2,0.8809,36,0,0.1,2172,1,10,39,92.3,270000,Large (20-100)
HOSP-65059,39,32,82.1,0.8614,36,1,0.0,986,1,15,39,92.3,270000,Large (20-100)
HOSP-18066,39,34,87.2,0.8547,34,5,0.0,3116,1,21,39,87.2,255000,Large (20-100)
HOSP-46593,38,32,84.2,0.7941,28,5,0.0,3764,1,5,38,73.7,210000,Large (20-100)
HOSP-21197,38,27,71.1,0.7964,30,3,0.2,1605,1,10,37,78.9,225000,Large (20-100)
HOSP-62556,38,31,81.6,0.7785,31,3,0.0,1015,1,14,38,81.6,232500,Large (20-100)
HOSP-40283,38,36,94.7,0.8425,33,3,0.0,976,1,39,38,86.8,247500,Large (20-100)
HOSP-90198,38,0,0.0,0.0091,0,0,15.9,16511,1,38,0,0.0,0,Large (20-100)
HOSP-11588,38,33,86.8,0.8872,36,1,0.0,1003,1,44,38,94.7,270000,Large (20-100)
HOSP-43375,38,26,68.4,0.7234,27,3,0.3,1401,2,51,32,71.1,202500,Large (20-100)
HOSP-05718,37,32,86.5,0.9124,36,1,0.0,1156,1,14,37,97.3,270000,Large (20-100)
HOSP-63044,37,32,86.5,0.8465,33,1,0.0,1195,1,31,37,89.2,247500,Large (20-100)
HOSP-25939,37,34,91.9,0.8691,34,1,0.0,1672,1,23,37,91.9,255000,Large (20-100)
HOSP-75149,37,34,91.9,0.8739,34,3,0.0,1974,1,34,37,91.9,255000,Large (20-100)
HOSP-68752,37,29,78.4,0.7806,28,4,0.3,2783,1,50,33,75.7,210000,Large (20-100)
HOSP-46659,37,31,83.8,0.7962,30,3,0.0,983,1,50,37,81.1,225000,Large (20-100)
HOSP-74746,37,33,89.2,0.8353,29,6,0.0,873,1,36,37,78.4,217500,Large (20-100)
HOSP-66246,36,29,80.6,0.7457,26,4,0.0,1549,1,50,36,72.2,195000,Large (20-100)
HOSP-19034,36,32,88.9,0.8325,30,2,0.0,2407,1,10,36,83.3,225000,Large (20-100)
HOSP-87818,36,27,75.0,0.7652,26,5,0.0,2132,2,36,36,72.2,195000,Large (20-100)
HOSP-77637,36,30,83.3,0.8473,29,6,0.0,1583,1,39,36,80.6,217500,Large (20-100)
HOSP-77017,36,29,80.6,0.7712,23,8,0.0,2453,1,33,36,63.9,172500,Large (20-100)
HOSP-51399,36,29,80.6,0.8425,29,6,0.0,744,1,24,36,80.6,217500,Large (20-100)
HOSP-77761,36,32,88.9,0.8291,30,4,0.0,877,1,23,36,83.3,225000,Large (20-100)
HOSP-13861,36,22,61.1,0.6156,19,5,0.4,1798,2,12,35,52.8,142500,Large (20-100)
HOSP-48497,36,33,91.7,0.8733,30,5,0.0,1124,1,50,36,83.3,225000,Large (20-100)
HOSP-59642,35,23,65.7,0.6685,22,4,0.0,1205,1,52,35,62.9,165000,Large (20-100)
HOSP-49790,35,2,5.7,0.1278,2,0,0.9,1630,1,24,35,5.7,15000,Large (20-100)
HOSP-83878,35,29,82.9,0.8264,29,3,0.1,1196,1,50,35,82.9,217500,Large (20-100)
